month,reference_MWh,model_total_MWh,model_total_bias_pct,corrected_component_seasonal_kwh_MWh,corrected_component_seasonal_kwh_bias_pct,corrected_final_kwh_MWh,corrected_final_kwh_bias_pct
1,680.9320946100001,473.3487547830417,-30.485174875748893,689.9726791643951,1.327677844230985,678.2315771452126,-0.3965913027398552
2,681.3376043809999,424.9851274280849,-37.62488306891751,689.593597485186,1.2117330749249882,676.9276619642901,-0.6472477650365874
3,641.199872696,521.4021839203249,-18.683361285143697,654.4748731983311,2.0703373577594095,646.4385595987102,0.8170130915159803
4,527.53546191,664.4129761329615,25.94659963282496,534.8821053927385,1.3926350005247412,532.2654499723402,0.8966199248890038
5,617.4347450409999,913.0106415945224,47.87160083352534,619.0371783236708,0.25953079180284716,620.6651954045888,0.5232051467032744
6,694.0745686399999,1234.8963089718493,77.91983235915977,689.2650639863936,-0.6929377434229295,693.3068291188683,-0.11061340608343571
7,811.5732985000001,1221.7106560182021,50.536083219623336,798.4076266060608,-1.622240642745747,808.3396741614694,-0.39843897581491244
8,906.81935384,883.8832215497241,-2.5292945274216936,883.5939891160123,-2.5611897921717346,899.1517553070981,-0.8455486200677982
9,761.9393190599999,385.2568463720388,-49.437332247490794,750.4478038586134,-1.5081929641803424,762.3783497682535,0.05762016702265032
10,619.191737542,339.4511797070194,-45.178341517518355,618.0430671335635,-0.18551126231051301,621.6200273524776,0.3921709001022985
11,528.036993695,513.0643845603943,-2.8355227594629633,535.6231157689515,1.4366648860843556,532.7378587891405,0.8902529842172213
12,621.542063006,621.4045882781867,-0.022118330519500205,626.2839984937705,0.7629307443548997,616.1642234814764,-0.8652414445636116
